num,treatment,temp.avg,temp.var,date.hatch,date.died,date.ovp,num.ovp,suc.ovp,date.3,mass.3,date.4,mass.4,date.5,mass.5,date.p5.1,mass.p5.1,date.p5.2,mass.p5.2,date.p5.3,mass.p5.3,date.cull,mass.cull,inst.6,date.wand,mass.wand,date.em,instar.em,bled.em,mass.48em,date.ecl,num.em,num.coc,num.fail.spin,num.unem,num.ecl,load,mongo,left_out,notes,diss.notes
1,control,30,0,1/23/20,,,,,1/26/20,38.09,1/29/20,545.61,1/31/20,1447.48,,,,,,,,,,2/3/20,8479.89,,,,,,0,,,,,0,,,,
2,control,30,10,1/23/20,,,,,1/27/20,68.77,1/29/20,269.65,2/3/20,2187.28,,,,,,,,,,2/8/20,10693.13,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from 5th-6th prolegs",
3,para,30,0,1/23/20,,1/27/20,1,,1/27/20,48.43,1/30/20,413.2,2/3/20,3023.81,,,,,,,,,,,,2/6/20,5,0,4016.15,2/10/20,118,91,27,111,77,229,,,,2 immature 2nd instars counted in num unem. some 2nd instars look stuck in their cuticle
4,para,30,10,1/23/20,,1/27/20,3,,1/27/20,78.44,1/30/20,445.2,2/2/20,1520.72,2/10/20,10339.66,2/16/20,12127.65,2/24/20,9085.55,,,,2/24/20,9085.55,,,,,,0,,,,,0,,,"weighed a day late for p5.1--kept on original schedule for other weighings. wandered 2/24/20, put in pupae box to see if it pupates",
5,control,30,0,1/23/20,,,,,1/27/20,50.35,1/29/20,317.79,2/1/20,4241.08,,,,,,,,,,2/4/20,9569.97,,,,,,0,,,,,0,,,,
6,control,30,10,1/23/20,,,,,1/27/20,32.23,1/30/20,226.2,2/3/20,1403.95,,,,,,,,,,2/8/20,7896.71,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",
7,para,30,0,1/23/20,,1/27/20,1,,1/27/20,41.58,1/30/20,250.96,2/3/20,1958.08,,,,,,,,,,,,2/5/20,5,0,2399.19,2/10/20,85,85,0,24,80,109,,,,4 immature 2nds counted in num unem
8,para,30,10,1/23/20,2/8/20,1/27/20,1,,1/27/20,40,1/30/20,132.09,2/4/20,907.15,,,,,,,,,,,,,,,,,0,,,,,0,,,"head capsule damaged during ovp. did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",
9,control,30,0,1/23/20,,,,,1/27/20,45.36,1/29/20,235.45,2/1/20,3266.16,,,,,,,,,,2/4/20,10551.37,,,,,,0,,,,,0,,,,
10,control,30,10,1/23/20,,,,,1/27/20,28.97,1/30/20,202.23,2/3/20,1631.03,,,,,,,,,,2/8/20,8683.6,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from 5th-6th prolegs",
11,para,30,0,1/23/20,1/31/20,1/27/20,1,,1/27/20,70.55,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,
12,para,30,10,1/23/20,,1/27/20,1,,1/27/20,58.18,1/30/20,274.11,2/3/20,1576.91,2/10/20,9744.56,2/17/20,10466.31,,,2/22/20,8769.46,,,,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from all prolegs. close to death 2/22/20, culled early. frozen for dissection",
13,control,30,0,1/23/20,,,,,1/27/20,50.78,1/29/20,222.19,2/1/20,1720.16,,,,,,,,,,2/4/20,11456.22,,,,,,0,,,,,0,,,,
14,control,30,10,1/23/20,,,,,1/27/20,31.92,1/30/20,205.9,2/3/20,1490.47,,,,,,,,,,2/8/20,9190.56,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",
15,para,30,0,1/24/20,,1/27/20,1,,1/27/20,46.98,1/30/20,264.88,2/3/20,1605.68,,,,,,,,,,,,2/6/20,5,0,3164.23,2/10/20,77,73,4,42,69,119,,,,3 immature 2nd instars counted in num unem. some 2nd instars look stuck in their cuticle
16,para,30,10,1/24/20,2/13/20,1/27/20,1,,1/27/20,44.14,1/30/20,163.89,2/3/20,760.25,2/10/20,5345.44,,,,,,,,,,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs. molted to 6th 2/12/20. Mass: 3794.03. Molted badly to 6th, did not shed head cap or cuticle, bled heavily. Could not remove cuticle",
17,control,30,0,1/24/20,,,,,1/27/20,52.05,1/29/20,161.24,2/1/20,1293.77,,,,,,,,,,2/5/20,9507.24,,,,,,0,,,,,0,,,,
18,control,30,10,1/24/20,,,,,1/27/20,46.71,1/29/20,249.23,2/2/20,1336.47,,,,,,,,,,2/9/20,5924.3,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from 4-6th prolegs",
19,para,30,0,1/24/20,,1/27/20,2,,1/27/20,43.64,1/31/20,144.36,2/4/20,1536.83,,,,,,,,,,,,2/8/20,5,0,3485.45,2/13/20,76,53,23,141,18,217,,1,"was left out at room temperature for 24 hours, 1 day after wasp emergence",17 immature 2nd instars counted in num unem. some 2nd instars looked stuck in cuticle. at least 1 1st instar found
20,para,30,10,1/24/20,2/5/20,1/27/20,1,,1/27/20,42.96,2/1/20,72.72,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,
21,control,30,0,1/24/20,,,,,1/27/20,43.47,1/29/20,187.08,2/1/20,1125.88,,,,,,,,,,2/5/20,8670.88,,,,,,0,,,,,0,,,,
22,control,30,10,1/24/20,,,,,1/27/20,46.11,1/29/20,193.96,2/3/20,1724.79,,,,,,,,,,2/9/20,8099.44,,,,,,0,,,,,0,,,,
23,para,30,0,1/24/20,,1/27/20,3,,1/27/20,42.19,1/30/20,321.55,2/2/20,1353.72,,,,,,,,,,,,2/7/20,5,1,3512.4,2/10/20,89,82,7,239,73,328,,,,"52 immature 2nd instars, counted in num unem. some 2nd instars look stuck in their cuticle. at least 5-10 1st instars found"
24,para,30,10,1/24/20,,1/27/20,2,,1/27/20,34.24,1/30/20,213.45,2/3/20,1180.44,2/10/20,8109.4,2/17/20,10863.28,2/24/20,9682.96,2/24/20,9682.96,,,,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from 3rd-6th prolegs",
25,control,30,0,1/24/20,,,,,1/27/20,45.7,1/29/20,259.38,2/1/20,2911.34,,,,,,,,,,2/4/20,9992.34,,,,,,0,,,,,0,,,,
26,control,30,10,1/24/20,,,,,1/27/20,33.25,1/30/20,189.24,2/3/20,1108.53,,,,,,,,,,2/8/20,6753.34,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",
27,para,30,0,1/24/20,,1/27/20,2,,1/27/20,39.62,1/30/20,140.37,2/3/20,1209.88,,,,,,,,,,,,2/7/20,5,0,3028.6,2/11/20,72,48,24,112,39,184,,,,39 immature 2nd instars counted in num unem. some 2nd instars look stuck in their cuticle
28,para,30,10,1/24/20,2/14/20,1/27/20,2,,1/27/20,38.62,2/1/20,201.41,2/5/20,967.33,2/12/20,4880.22,,,,,,,,,,,,,,,0,,,,,0,,,"head capsule damaged during ovp. did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs. molted to 6th 2/12/20. Mass: 4880.22. did not shed well--did not shed head capsule or cuticle, bled heavily. removed most of the cuticle ",
29,control,30,0,1/24/20,,,,,1/27/20,50.24,1/29/20,222.42,2/1/20,3066.58,,,,,,,,,,2/4/20,8859.93,,,,,,0,,,,,0,,,,
30,control,30,10,1/24/20,,,,,1/27/20,43.45,1/30/20,173.13,2/4/20,1681.59,,,,,,,,,,2/9/20,9324.64,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from all prolegs",
31,para,30,0,1/24/20,,1/27/20,1,,1/27/20,41.51,1/31/20,121.17,2/4/20,1849.26,,,,,,,,,,,,2/7/20,5,0,3290.92,2/11/20,94,55,39,39,31,133,,,,
32,para,30,10,1/24/20,,1/27/20,1,,1/27/20,40.52,1/30/20,248.9,2/4/20,2426.01,2/11/20,9769.85,2/18/20,14919.28,2/25/20,12865.44,2/25/20,12865.44,,,,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",
33,control,30,0,1/24/20,,,,,1/27/20,47.29,1/29/20,186.31,2/1/20,1425.24,,,,,,,,,,2/5/20,10495.67,,,,,,0,,,,,0,,,,
34,control,30,10,1/24/20,,,,,1/27/20,39.94,1/29/20,211.25,2/1/20,1239.32,,,,,,,,,,2/6/20,9063.74,,,,,,0,,,,,0,,,,
35,para,30,0,1/24/20,,1/27/20,1,,1/27/20,60.9,1/30/20,192.91,2/3/20,1521.25,,,,,,,,,,,,2/6/20,5,0,2817.37,2/10/20,53,43,10,33,22,86,,,,"7 immature 2nds, counted in num_unem. at least 2 1st instar. Some 2nd instars looked stuck in their cuticle"
36,para,30,10,1/24/20,,1/27/20,1,,1/27/20,50.7,1/30/20,241.66,2/3/20,1429.51,2/10/20,11143.89,2/17/20,12043.07,2/24/20,10267.14,2/24/20,10267.14,,,,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",
37,control,30,0,1/24/20,,,,,1/27/20,58.32,1/29/20,289.94,2/1/20,3812.58,,,,,,,,,,2/3/20,10160.66,,,,,,0,,,,,0,,,,
38,control,30,10,1/24/20,,,,,1/27/20,48.94,1/29/20,254.75,2/2/20,2758.97,,,,,,,,,,2/6/20,10608.51,,,,,,0,,,,,0,,,,
39,para,30,0,1/24/20,,1/27/20,1,,1/27/20,52.63,1/30/20,302.15,2/3/20,2523.14,,,,,,,,,,,,2/6/20,5,0,4123.56,,70,52,18,37,44,107,,,,2 immature 2nds counted in num unem. some 2nd instars looked stuck in their cuticle
40,para,30,10,1/24/20,,1/27/20,1,,1/27/20,60.68,1/30/20,231.03,2/3/20,3125.77,2/10/20,9746.83,2/17/20,12103.88,2/24/20,9426.34,2/24/20,9426.34,,,,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from 5th-6th prolegs",
41,control,30,0,1/24/20,,,,,1/27/20,36.03,1/29/20,212.38,2/1/20,1709.2,,,,,,,,,,2/4/20,10591.64,,,,,,0,,,,,0,,,,
42,control,30,10,1/24/20,,,,,1/27/20,33.7,1/29/20,185.8,2/2/20,2758.71,,,,,,,,,,2/6/20,9310.86,,,,,,0,,,,,0,,,,
43,para,30,0,1/24/20,,1/27/20,1,,1/27/20,35.91,1/31/20,222.44,2/4/20,1703.7,,,,,,,,,,,,2/7/20,5,0,2957.79,2/12/20,138,132,6,25,127,163,,,,3 immature 2nds counted in num unem
44,para,30,10,1/24/20,,1/27/20,1,,1/27/20,52.76,2/1/20,424.12,2/7/20,1451.38,2/14/20,8258.85,2/21/20,8948.82,2/28/20,6969.13,2/28/20,6969.13,,,,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, cuticle removed from 4th-6th prolegs 3 days after molt to 5th (2/10/20)",
45,control,30,0,1/24/20,,,,,1/27/20,43.05,1/29/20,160.71,2/1/20,1319.56,,,,,,,,,,2/4/20,9849.35,,,,,,0,,,,,0,,,,
46,control,30,10,1/24/20,,,,,1/27/20,54.94,1/29/20,170.2,2/3/20,1866.37,,,,,,,,,,2/7/20,9351.54,,,,,,0,,,,,0,,,"did not shed fully over prolegs at molt to 5th, removed cuticle from 4th-6th prolegs",
47,para,30,0,1/24/20,,1/27/20,1,,1/27/20,48.04,1/30/20,162.34,2/3/20,1083.85,,,,,,,,,,,,2/7/20,5,0,3697.77,2/11/20,121,102,19,136,89,257,,,"did not shed fully over prolegs at molt to 5th, removed cuticle from 4th-6th prolegs",15 immature 2nds counted in num_unem. some 2nds looked stuck in their cuticle. many 2nds looked small even when mature
48,para,30,10,1/24/20,,1/27/20,1,,1/27/20,54.31,2/1/20,358.08,2/4/20,919.77,2/11/20,5667.74,2/18/20,7893.54,2/25/20,5623.35,2/25/20,5623.35,,,,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from all prolegs",
49,control,30,0,1/24/20,2/5/20,,,,1/27/20,59.31,1/29/20,253.4,2/1/20,1345.34,,,,,,,,,,,,,,,,,0,,,,,0,,,,
50,control,30,10,1/24/20,,,,,1/27/20,47.91,1/30/20,498.9,2/2/20,1388.63,,,,,,,,,,2/7/20,8539.89,,,,,,0,,,,,0,,,"did not shed fully, removed cuticle from all prolegs at molt to 5th",
51,para,30,0,1/24/20,,1/27/20,2,,1/27/20,47.23,1/30/20,184.3,2/3/20,2453.42,,,,,,,,,,,,2/7/20,5,0,5204.41,2/11/20,155,111,44,112,92,267,,,,10 immature 2nds counted in num unem. some 2nd instars looked stuck in their cuticle. at least 1 1st found
52,para,30,10,1/24/20,,1/27/20,2,,1/27/20,46.99,1/30/20,163.02,2/3/20,1135.28,2/10/20,8477.04,2/17/20,9273.35,2/24/20,8030.15,2/24/20,8030.15,,,,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",
53,control,30,0,1/24/20,,,,,1/27/20,54.34,1/29/20,258.02,2/1/20,3218.89,,,,,,,,,,2/4/20,9570.57,,,,,,0,,,,,0,,,,
54,control,30,10,1/24/20,2/10/20,,,,1/27/20,61.75,1/29/20,216.12,2/2/20,1067.18,,,,,,,,,,,,,,,,,0,,,,,0,,,"did not shed fully, removed cuticle from 4-6th prolegs at molt to 5th",
55,para,30,0,1/24/20,1/30/20,1/27/20,1,,1/27/20,46.43,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,
56,para,30,10,1/24/20,,1/27/20,1,,1/27/20,49,2/1/20,420.28,2/4/20,842.39,2/11/20,1965.35,,,,,2/17/20,2422.06,,,,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, could not remove cuticle. removed cuticle 6 days after molt to 5th, 2/10/20. close to death on 2/17/20, culled early. frozen for dissection",
57,para,30,0,1/24/20,,1/27/20,1,,1/27/20,48.01,1/30/20,210.17,2/3/20,2423.37,,,,,,,,,,,,2/6/20,5,0,4329.5,2/10/20,113,104,9,90,73,203,,,,1 immature 2nd counted in num unem. at least 1 1st found. some 2nd instars look stuck in their cuticle
58,para,30,10,1/24/20,2/12/20,1/27/20,1,,1/27/20,40.1,2/1/20,376.55,2/4/20,728.27,2/11/20,2133.98,,,,,,,,,,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from all prolegs. ruptured it's digestive system somehow, found dead with green goo coming out of its rectum ",
59,control,30,0,1/24/20,,,,,1/28/20,40.58,1/30/20,286.3,2/2/20,2181.83,,,,,,,,,,2/5/20,8946.13,,,,,,0,,,,,0,,,,
60,control,30,10,1/24/20,,,,,1/28/20,42.52,1/30/20,216.33,2/3/20,1776.6,,,,,,,,,,2/8/20,10108.84,,,,,,0,,,,,0,,,"did not shed fully over prolegs at molt to 5th, removed cuticle from 5th-6th prolegs",
61,para,30,0,1/24/20,,1/28/20,1,,1/28/20,54.58,1/30/20,196.16,2/3/20,1967.79,,,,,,,,,,,,2/7/20,5,0,4749.87,2/10/20,122,111,11,89,94,211,,,,12 immature 2nds counted in num unem . some 2nds look stuck in their cuticle. at least 3-4 1st instars found
62,para,30,10,1/24/20,,1/28/20,1,,1/28/20,62.1,1/31/20,163.88,2/4/20,1326.19,2/11/20,9575.73,,,,,,,,2/15/20,8736.76,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs. wandered 2/15/20, frozen at -80 for katherine to test",
63,control,30,0,1/24/20,,,,,1/28/20,45.94,1/30/20,248.96,2/2/20,2022.59,,,,,,,,,,2/5/20,11007.87,,,,,,0,,,,,0,,,,
64,control,30,10,1/24/20,,,,,1/28/20,64.64,1/30/20,286.47,2/3/20,2120.43,,,,,,,,,,2/8/20,12180.9,,,,,,0,,,,,0,,,,
65,para,30,0,1/24/20,,1/28/20,2,,1/28/20,56.35,1/30/20,222.29,2/3/20,2268.18,,,,,,,,,,,,2/7/20,5,0,5082.67,2/10/20,67,60,7,146,54,213,,,weighed 2 days after freezing because mass em not recorded,"44 immature 2nds, counted in num unem. some 2nds looked stuck in their cuticle"
66,para,30,10,1/24/20,,1/28/20,1,,1/28/20,43.22,2/1/20,687.19,2/4/20,1936.07,2/11/20,11277.32,2/18/20,14677.42,2/25/20,12389.51,2/25/20,12389.51,,,,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",
67,control,30,0,1/24/20,,,,,1/28/20,35.47,1/31/20,186.86,2/4/20,2119.96,,,,,,,,,,2/7/20,9742.65,,,,,,0,,,,,0,,,,
68,control,30,10,1/24/20,,,,,1/28/20,53.88,1/30/20,310.57,2/3/20,1841.42,,,,,,,,,,2/8/20,8864.74,,,,,,0,,,,,0,,,,
69,para,30,0,1/24/20,,1/28/20,2,,1/28/20,69.38,1/31/20,229.72,2/6/20,2345.18,,,,,,,,,,,,2/10/20,5,0,5523.87,2/14/20,114,101,13,232,82,346,,,,"87 immature 2nds, counted in num unem. some 2nds looked stuck in their cuticle. at least 1 first instar found. maybe 1 mel plaque"
70,para,30,10,1/24/20,,1/28/20,1,,1/28/20,41.43,2/2/20,194.29,2/7/20,1582.37,2/14/20,8709.73,2/21/20,11071.4,2/28/20,9069.18,2/28/20,9069.18,,,,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, cuticle removed from 4th-6th prolegs 3 days after molt to 5th (2/10/20)",
71,control,30,0,1/24/20,,,,,1/28/20,57.79,1/30/20,350.41,2/1/20,1477.34,,,,,,,,,,2/5/20,10887.09,,,,,,0,,,,,0,,,,
72,control,30,10,1/24/20,,,,,1/28/20,73.34,1/30/20,425.24,2/3/20,2733.64,,,,,,,,,,2/8/20,10306.74,,,,,,0,,,,,0,,,,
73,para,30,0,1/24/20,,1/28/20,1,,1/28/20,67.49,1/30/20,232.66,2/3/20,1839.34,,,,,,,,,,,,2/7/20,5,0,4089.74,2/10/20,123,93,30,48,87,171,,,,2 immature 2nd instars counted in num unem
74,para,30,10,1/24/20,,1/28/20,2,,1/28/20,67.25,1/30/20,193.93,2/3/20,1264.02,2/10/20,3904.85,2/17/20,5090.44,2/24/20,4748.11,2/24/20,4748.11,,,,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from all prolegs",
75,control,30,0,1/24/20,2/1/20,,,,1/28/20,66.94,1/31/20,236.9,,,,,,,,,,,,2/6/20,10096.21,,,,,,0,,,,,0,,,"died, but date of death was not recorded. put 2/1/20 as place holder",
76,control,30,10,1/24/20,,,,,1/28/20,31.94,1/30/20,168.96,2/3/20,1324.6,,,,,,,,,,2/8/20,7305.7,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",
77,para,30,0,1/24/20,,1/28/20,2,,1/28/20,60.99,1/31/20,211.08,2/4/20,2237.03,,,,,,,,,,,,2/8/20,5,0,4691.96,2/12/20,138,103,35,93,76,231,,1,was left out at room temperature for 24 hours 1 day after wasp emergence,some 2nds looked stuck in their cuticle
78,para,30,10,1/24/20,2/15/20,1/28/20,3,,1/28/20,53.9,2/1/20,414.56,2/5/20,1327.62,2/12/20,3347.57,,,,,,,,,,,,,,,0,,,,,0,,,,
79,control,30,0,1/24/20,,,,,1/28/20,60.08,1/30/20,370.88,2/1/20,1652.04,,,,,,,,,,2/5/20,13388.28,,,,,,0,,,,,0,,,,
80,control,30,10,1/24/20,,,,,1/28/20,73.89,1/30/20,309.15,2/2/20,1647.22,,,,,,,,,,2/7/20,8242.48,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from 4-6th prolegs",
81,para,30,0,1/24/20,,1/28/20,1,,1/28/20,47.57,1/31/20,244.92,2/3/20,1452.61,,,,,,,,,,,,2/7/20,5,0,3067.76,2/10/20,73,66,7,47,55,120,,,,4 immature 2nds counted in num unem. some 2nds look stuck in their cuticle
82,para,30,10,1/24/20,2/22,1/28/20,2,,1/28/20,57.26,1/31/20,228.04,2/4/20,1787.71,2/11/20,7749.46,2/18/20,7785.28,,,,,,,,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs. turned very gross and black on 2/22/20",
83,control,30,0,1/24/20,,,,,1/28/20,75.22,1/30/20,199.86,2/2/20,2146.71,,,,,,,,,,2/5/20,9233.77,,,,,,0,,,,,0,,,,
84,control,30,10,1/24/20,,,,,1/28/20,44.58,1/30/20,228.21,2/3/20,1493.61,,,,,,,,,,2/8/20,8117.48,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",
85,para,30,0,1/24/20,,1/28/20,2,,1/28/20,57.83,1/31/20,108.1,2/4/20,1603.51,,,,,,,,,,,,2/8/20,5,1,3924.36,2/12/20,78,63,15,153,57,231,,1,was left out at room temperature for 24 hours 1 day after wasp emergence,6 immature 2nds counted in num unem. some 2nds look stuck in their cuticle
86,para,30,10,1/24/20,,1/28/20,1,,1/28/20,67.91,2/1/20,575.05,2/5/20,2133.84,2/12/20,6071.88,,,,,2/16/20,6041.53,,,,,,,,,0,,,,,0,,,"close to death before p5.2, culled and weighed on 2/16/20",
87,control,30,0,1/24/20,,,,,1/28/20,35.16,1/30/20,209.81,2/2/20,1564.43,,,,,,,,,,2/5/20,9549.83,,,,,,0,,,,,0,,,,
88,control,30,10,1/24/20,,,,,1/28/20,34.2,1/30/20,222.42,2/3/20,1525.1,,,,,,,,,,2/8/20,8167.63,,,,,,0,,,,,0,,,,
89,para,30,0,1/24/20,,1/28/20,1,,1/28/20,62.33,1/31/20,208.07,2/4/20,2286.55,,,,,,,,,,,,2/7/20,5,0,4541.29,2/12/20,165,156,9,77,134,242,,,,"5 immature 2nds, counted in num unem. some 2nd instars looked stuck in their cuticle"
90,para,30,10,1/24/20,2/10/20,1/28/20,1,,1/28/20,30.64,2/1/20,474.35,2/5/20,1250.74,,,,,,,,,,,,,,,,,0,,,,,0,,,,
91,control,30,0,1/24/20,,,,,1/28/20,30.14,1/30/20,143.43,2/3/20,2903.52,,,,,,,,,,2/6/20,10861.44,,,,,,0,,,,,0,,,,
92,control,30,10,1/24/20,,,,,1/28/20,27.47,1/30/20,160.01,2/5/20,1259.66,,,,,,,,,,2/12/20,6189.87,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, removed cuticle from 4th-6th prolegs",
93,para,30,0,1/24/20,,1/28/20,1,,1/28/20,43.76,1/31/20,124.23,2/4/20,1809.97,,,,,,,,,,,,2/7/20,5,0,2284.08,2/11/20,75,55,20,79,41,154,,,,16 immature 2nds counted in num unem. 
94,para,30,10,1/24/20,2/11/20,1/28/20,2,,1/28/20,46.91,2/1,NA,2/7/20,1071.88,,,,,,,,,,,,,,,,,0,,,,,0,,,"did not shed fully at molt to 5th, cuticle removed from 4th-6th prolegs 3 days after molt to 5th (2/10/20)",
95,control,30,0,1/24/20,,,,,1/28/20,45.56,1/30/20,234.22,2/2/20,3098.14,,,,,,,,,,2/5/20,9856.63,,,,,,0,,,,,0,,,,
96,control,30,10,1/24/20,2/5/20,,,,1/28/20,38.28,1/30/20,181.51,2/3/20,1534.92,,,,,,,,,,,,,,,,,0,,,,,0,,,,
97,para,30,0,1/24/20,,1/28/20,1,,1/28/20,67.53,2/1/20,97.41,2/6/20,637.03,,,,,,,,,,,,2/10/20,5,0,1381.12,2/14/20,56,36,20,56,29,112,,,,"21 immature 2nds, counted in num unem. some 2nds looked stuck in their cuticle. at least 1 1st instar found"
